None,region_id,region_type,region,zip,state,city,county,community
511,99380,zip,97635; CA; Modoc County; New Pine Creek,97635,CA,Modoc County,New Pine Creek,
932,98673,zip,96162; CA; Truckee-Grass Valley; Nevada County; Truckee,96162,CA,Truckee-Grass Valley,Nevada County,Truckee
933,98672,zip,96161; CA; Truckee-Grass Valley; Nevada County; Truckee,96161,CA,Truckee-Grass Valley,Nevada County,Truckee
936,98662,zip,96148; CA; Sacramento--Roseville--Arden-Arcade; Placer County; Tahoe Vista,96148,CA,Sacramento--Roseville--Arden-Arcade,Placer County,Tahoe Vista
937,98661,zip,96146; CA; Sacramento--Roseville--Arden-Arcade; Placer County; Tahoe City,96146,CA,Sacramento--Roseville--Arden-Arcade,Placer County,Tahoe City
938,98660,zip,96145; CA; Sacramento--Roseville--Arden-Arcade; Placer County; Tahoe City,96145,CA,Sacramento--Roseville--Arden-Arcade,Placer County,Tahoe City
940,98659,zip,96143; CA; Sacramento--Roseville--Arden-Arcade; Placer County; Kings Beach,96143,CA,Sacramento--Roseville--Arden-Arcade,Placer County,Kings Beach
941,98658,zip,96142; CA; Sacramento--Roseville--Arden-Arcade; El Dorado County; Tahoma,96142,CA,Sacramento--Roseville--Arden-Arcade,El Dorado County,Tahoma
942,98657,zip,96141; CA; Sacramento--Roseville--Arden-Arcade; Placer County; Homewood,96141,CA,Sacramento--Roseville--Arden-Arcade,Placer County,Homewood
943,98656,zip,96140; CA; Sacramento--Roseville--Arden-Arcade; Placer County; Carnelian Bay,96140,CA,Sacramento--Roseville--Arden-Arcade,Placer County,Carnelian Bay
944,98655,zip,96137; CA; Plumas County; Westwood,96137,CA,Plumas County,Westwood,
945,98654,zip,96136; CA; Susanville; Lassen County; Wendel,96136,CA,Susanville,Lassen County,Wendel
946,98653,zip,96135; CA; Plumas County; Chilcoot,96135,CA,Plumas County,Chilcoot,
947,98652,zip,96134; CA; Modoc County; Tulelake,96134,CA,Modoc County,Tulelake,
948,98651,zip,96133; CA; Mono County; Coleville,96133,CA,Mono County,Coleville,
949,98650,zip,96132; CA; Susanville; Lassen County; Termo,96132,CA,Susanville,Lassen County,Termo
950,98649,zip,96130; CA; Susanville; Lassen County,96130,CA,Susanville,Lassen County,
951,98648,zip,96129; CA; Plumas County; Beckwourth,96129,CA,Plumas County,Beckwourth,
952,98647,zip,96128; CA; Susanville; Lassen County; Standish,96128,CA,Susanville,Lassen County,Standish
953,98646,zip,96127; CA; Susanville; Lassen County; Janesville,96127,CA,Susanville,Lassen County,Janesville
954,98645,zip,96126; CA; Sierra County; Sierraville,96126,CA,Sierra County,Sierraville,
955,98644,zip,96125; CA; Sierra County; Sierra City,96125,CA,Sierra County,Sierra City,
956,98643,zip,96124; CA; Sierra County; Calpine,96124,CA,Sierra County,Calpine,
957,98642,zip,96123; CA; Susanville; Lassen County; Ravendale,96123,CA,Susanville,Lassen County,Ravendale
958,98641,zip,96122; CA; Plumas County; Portola,96122,CA,Plumas County,Portola,
959,98640,zip,96121; CA; Susanville; Lassen County; Milford,96121,CA,Susanville,Lassen County,Milford
961,98639,zip,96120; CA; Alpine County; Kirkwood,96120,CA,Alpine County,Kirkwood,
962,98638,zip,96119; CA; Susanville; Lassen County; Madeline,96119,CA,Susanville,Lassen County,Madeline
963,98637,zip,96118; CA; Sierra County; Loyalton,96118,CA,Sierra County,Loyalton,
964,98636,zip,96117; CA; Susanville; Lassen County; Litchfield,96117,CA,Susanville,Lassen County,Litchfield
965,98635,zip,96116; CA; Modoc County; Likely,96116,CA,Modoc County,Likely,
966,98634,zip,96115; CA; Modoc County; Lake City,96115,CA,Modoc County,Lake City,
967,98633,zip,96114; CA; Susanville; Lassen County; Janesville,96114,CA,Susanville,Lassen County,Janesville
968,98632,zip,96113; CA; Susanville; Lassen County; Doyle,96113,CA,Susanville,Lassen County,Doyle
969,98631,zip,96112; CA; Modoc County; Fort Bidwell,96112,CA,Modoc County,Fort Bidwell,
970,98630,zip,96111; CA; Truckee-Grass Valley; Nevada County; Truckee,96111,CA,Truckee-Grass Valley,Nevada County,Truckee
971,98629,zip,96110; CA; Modoc County; Cedarville,96110,CA,Modoc County,Cedarville,
972,98628,zip,96109; CA; Susanville; Lassen County; Doyle,96109,CA,Susanville,Lassen County,Doyle
973,98627,zip,96108; CA; Modoc County; New Pine Creek,96108,CA,Modoc County,New Pine Creek,
974,98626,zip,96107; CA; Mono County; Coleville,96107,CA,Mono County,Coleville,
975,98625,zip,96106; CA; Plumas County; Clio,96106,CA,Plumas County,Clio,
976,98624,zip,96105; CA; Plumas County; Chilcoot,96105,CA,Plumas County,Chilcoot,
977,98623,zip,96104; CA; Modoc County; Cedarville,96104,CA,Modoc County,Cedarville,
978,98622,zip,96103; CA; Plumas County; Graeagle,96103,CA,Plumas County,Graeagle,
979,98621,zip,96101; CA; Modoc County; Alturas,96101,CA,Modoc County,Alturas,
980,98619,zip,96097; CA; Siskiyou County; Yreka,96097,CA,Siskiyou County,Yreka,
981,98618,zip,96096; CA; Redding; Shasta County; Whitmore,96096,CA,Redding,Shasta County,Whitmore
982,98616,zip,96094; CA; Siskiyou County; Weed,96094,CA,Siskiyou County,Weed,
983,98615,zip,96093; CA; Trinity County; Weaverville,96093,CA,Trinity County,Weaverville,
984,98614,zip,96092; CA; Chico; Butte County,96092,CA,Chico,Butte County,
985,98613,zip,96091; CA; Trinity County; Trinity Center,96091,CA,Trinity County,Trinity Center,
986,98612,zip,96090; CA; Red Bluff; Tehama County; Tehama,96090,CA,Red Bluff,Tehama County,Tehama
987,98611,zip,96089; CA; Redding; Shasta County; Shasta Lake,96089,CA,Redding,Shasta County,Shasta Lake
988,98610,zip,96088; CA; Redding; Shasta County; Shingletown,96088,CA,Redding,Shasta County,Shingletown
989,98609,zip,96087; CA; Redding; Shasta County,96087,CA,Redding,Shasta County,
990,98608,zip,96086; CA; Siskiyou County; Seiad Valley,96086,CA,Siskiyou County,Seiad Valley,
991,98607,zip,96085; CA; Siskiyou County; Klamath River,96085,CA,Siskiyou County,Klamath River,
992,98606,zip,96084; CA; Redding; Shasta County; Round Mountain,96084,CA,Redding,Shasta County,Round Mountain
993,98605,zip,96080; CA; Red Bluff; Tehama County,96080,CA,Red Bluff,Tehama County,
994,98602,zip,96076; CA; Trinity County; Hayfork,96076,CA,Trinity County,Hayfork,
995,98601,zip,96075; CA; Red Bluff; Tehama County; Paynes Creek,96075,CA,Red Bluff,Tehama County,Paynes Creek
998,98599,zip,96073; CA; Redding; Shasta County; Palo Cedro,96073,CA,Redding,Shasta County,Palo Cedro
999,98598,zip,96071; CA; Redding; Shasta County; Old Station,96071,CA,Redding,Shasta County,Old Station
1000,98596,zip,96069; CA; Redding; Shasta County; Oak Run,96069,CA,Redding,Shasta County,Oak Run
1001,98595,zip,96068; CA; Susanville; Lassen County; Nubieber,96068,CA,Susanville,Lassen County,Nubieber
1002,98594,zip,96067; CA; Siskiyou County; Mount Shasta,96067,CA,Siskiyou County,Mount Shasta,
1003,98593,zip,96065; CA; Redding; Shasta County; Montgomery Creek,96065,CA,Redding,Shasta County,Montgomery Creek
1004,98592,zip,96064; CA; Siskiyou County; Montague,96064,CA,Siskiyou County,Montague,
1005,98591,zip,96063; CA; Red Bluff; Tehama County; Mill Creek,96063,CA,Red Bluff,Tehama County,Mill Creek
1006,98590,zip,96062; CA; Redding; Shasta County; Millville,96062,CA,Redding,Shasta County,Millville
1008,98589,zip,96061; CA; Red Bluff; Tehama County; Mill Creek,96061,CA,Red Bluff,Tehama County,Mill Creek
1009,98588,zip,96059; CA; Red Bluff; Tehama County; Manton,96059,CA,Red Bluff,Tehama County,Manton
1010,98587,zip,96058; CA; Siskiyou County; Macdoel,96058,CA,Siskiyou County,Macdoel,
1011,98586,zip,96057; CA; Siskiyou County; McCloud,96057,CA,Siskiyou County,McCloud,
1012,98585,zip,96056; CA; Susanville; Lassen County; McArthur,96056,CA,Susanville,Lassen County,McArthur
1013,98584,zip,96055; CA; Red Bluff; Tehama County; Los Molinos,96055,CA,Red Bluff,Tehama County,Los Molinos
1014,98583,zip,96054; CA; Modoc County; Lookout,96054,CA,Modoc County,Lookout,
1015,98582,zip,96052; CA; Trinity County; Lewiston,96052,CA,Trinity County,Lewiston,
1016,98581,zip,96051; CA; Redding; Shasta County; Lakehead,96051,CA,Redding,Shasta County,Lakehead
1017,98580,zip,96050; CA; Siskiyou County; Klamath River,96050,CA,Siskiyou County,Klamath River,
1018,98578,zip,96048; CA; Trinity County; Junction City,96048,CA,Trinity County,Junction City,
1019,98577,zip,96047; CA; Redding; Shasta County; Igo,96047,CA,Redding,Shasta County,Igo
1020,98576,zip,96046; CA; Trinity County; Hyampom,96046,CA,Trinity County,Hyampom,
1021,98575,zip,96044; CA; Siskiyou County; Hornbrook,96044,CA,Siskiyou County,Hornbrook,
1022,98574,zip,96041; CA; Trinity County; Hayfork,96041,CA,Trinity County,Hayfork,
1023,98573,zip,96040; CA; Redding; Shasta County; Hat Creek,96040,CA,Redding,Shasta County,Hat Creek
1024,98572,zip,96039; CA; Siskiyou County; Happy Camp,96039,CA,Siskiyou County,Happy Camp,
1025,98571,zip,96038; CA; Siskiyou County; Grenada,96038,CA,Siskiyou County,Grenada,
1026,98570,zip,96037; CA; Siskiyou County; Etna,96037,CA,Siskiyou County,Etna,
1028,98569,zip,96035; CA; Red Bluff; Tehama County; Gerber,96035,CA,Red Bluff,Tehama County,Gerber
1029,98568,zip,96034; CA; Siskiyou County; Gazelle,96034,CA,Siskiyou County,Gazelle,
1030,98567,zip,96033; CA; Redding; Shasta County; French Gulch,96033,CA,Redding,Shasta County,French Gulch
1031,98566,zip,96032; CA; Siskiyou County; Fort Jones,96032,CA,Siskiyou County,Fort Jones,
1032,98565,zip,96031; CA; Siskiyou County; Etna,96031,CA,Siskiyou County,Etna,
1033,98564,zip,96029; CA; Red Bluff; Tehama County; Corning,96029,CA,Red Bluff,Tehama County,Corning
1034,98563,zip,96028; CA; Redding; Shasta County; Fall River Mills,96028,CA,Redding,Shasta County,Fall River Mills
1035,98562,zip,96027; CA; Siskiyou County; Etna,96027,CA,Siskiyou County,Etna,
1036,98561,zip,96025; CA; Siskiyou County; Dunsmuir,96025,CA,Siskiyou County,Dunsmuir,
1037,98560,zip,96024; CA; Trinity County; Douglas City,96024,CA,Trinity County,Douglas City,
1038,98559,zip,96023; CA; Siskiyou County; Dorris,96023,CA,Siskiyou County,Dorris,
1039,98558,zip,96022; CA; Red Bluff; Tehama County; Cottonwood,96022,CA,Red Bluff,Tehama County,Cottonwood
1040,98557,zip,96021; CA; Red Bluff; Tehama County; Corning,96021,CA,Red Bluff,Tehama County,Corning
1041,98556,zip,96020; CA; Plumas County; Chester,96020,CA,Plumas County,Chester,
1042,98555,zip,96019; CA; Redding; Shasta County; Shasta Lake,96019,CA,Redding,Shasta County,Shasta Lake
1043,98554,zip,96017; CA; Redding; Shasta County; Castella,96017,CA,Redding,Shasta County,Castella
1044,98553,zip,96016; CA; Redding; Shasta County; Cassel,96016,CA,Redding,Shasta County,Cassel
1045,98552,zip,96015; CA; Modoc County; Canby,96015,CA,Modoc County,Canby,
1046,98551,zip,96014; CA; Siskiyou County; Callahan,96014,CA,Siskiyou County,Callahan,
1047,98550,zip,96013; CA; Redding; Shasta County; Burney,96013,CA,Redding,Shasta County,Burney
1048,98549,zip,96011; CA; Redding; Shasta County; Big Bend,96011,CA,Redding,Shasta County,Big Bend
1049,98548,zip,96010; CA; Trinity County; Big Bar,96010,CA,Trinity County,Big Bar,
1050,98547,zip,96009; CA; Susanville; Lassen County; Bieber,96009,CA,Susanville,Lassen County,Bieber
1051,98546,zip,96008; CA; Redding; Shasta County; Bella Vista,96008,CA,Redding,Shasta County,Bella Vista
1052,98545,zip,96007; CA; Redding; Shasta County; Anderson,96007,CA,Redding,Shasta County,Anderson
1053,98544,zip,96006; CA; Modoc County; Adin,96006,CA,Modoc County,Adin,
1054,98543,zip,96003; CA; Redding; Shasta County,96003,CA,Redding,Shasta County,
1055,98542,zip,96002; CA; Redding; Shasta County,96002,CA,Redding,Shasta County,
